rel_path,vendor,hw_platform,profile,default_topo
device/dell/x86_64-dellemc_n3248te_c3338-r0/DellEMC-N3248TE/buffers.json.j2,dell,x86_64-dellemc_n3248te_c3338-r0,DellEMC-N3248TE,t0
device/dell/x86_64-dellemc_s5212f_c3538-r0/DellEMC-S5212f-P-25G/buffers.json.j2,dell,x86_64-dellemc_s5212f_c3538-r0,DellEMC-S5212f-P-25G,t1
device/dell/x86_64-dellemc_s5224f_c3538-r0/DellEMC-S5224f-P-25G/buffers.json.j2,dell,x86_64-dellemc_s5224f_c3538-r0,DellEMC-S5224f-P-25G,t1
device/dell/x86_64-dellemc_s5232f_c3538-r0/DellEMC-S5232f-C32/buffers.json.j2,dell,x86_64-dellemc_s5232f_c3538-r0,DellEMC-S5232f-C32,t1
device/dell/x86_64-dellemc_s5232f_c3538-r0/DellEMC-S5232f-C8D48/buffers.json.j2,dell,x86_64-dellemc_s5232f_c3538-r0,DellEMC-S5232f-C8D48,t1
device/dell/x86_64-dellemc_s5232f_c3538-r0/DellEMC-S5232f-P-100G/buffers.json.j2,dell,x86_64-dellemc_s5232f_c3538-r0,DellEMC-S5232f-P-100G,t1
device/dell/x86_64-dellemc_s5232f_c3538-r0/DellEMC-S5232f-P-10G/buffers.json.j2,dell,x86_64-dellemc_s5232f_c3538-r0,DellEMC-S5232f-P-10G,t1
device/dell/x86_64-dellemc_s5232f_c3538-r0/DellEMC-S5232f-P-25G/buffers.json.j2,dell,x86_64-dellemc_s5232f_c3538-r0,DellEMC-S5232f-P-25G,t1
device/dell/x86_64-dellemc_s5248f_c3538-r0/DellEMC-S5248f-P-10G/buffers.json.j2,dell,x86_64-dellemc_s5248f_c3538-r0,DellEMC-S5248f-P-10G,t1
device/dell/x86_64-dellemc_s5248f_c3538-r0/DellEMC-S5248f-P-25G/buffers.json.j2,dell,x86_64-dellemc_s5248f_c3538-r0,DellEMC-S5248f-P-25G,t1
device/dell/x86_64-dellemc_s5296f_c3538-r0/DellEMC-S5296f-P-10G/buffers.json.j2,dell,x86_64-dellemc_s5296f_c3538-r0,DellEMC-S5296f-P-10G,t1
device/dell/x86_64-dellemc_s5296f_c3538-r0/DellEMC-S5296f-P-25G/buffers.json.j2,dell,x86_64-dellemc_s5296f_c3538-r0,DellEMC-S5296f-P-25G,t1
device/dell/x86_64-dellemc_s5448f-r0/DellEMC-S5448f-C48O8/buffers.json.j2,dell,x86_64-dellemc_s5448f-r0,DellEMC-S5448f-C48O8,t1
device/dell/x86_64-dellemc_z9264f_c3538-r0/DellEMC-Z9264f-C64/buffers.json.j2,dell,x86_64-dellemc_z9264f_c3538-r0,DellEMC-Z9264f-C64,t1
device/dell/x86_64-dellemc_z9264f_c3538-r0/DellEMC-Z9264f-C8D112/buffers.json.j2,dell,x86_64-dellemc_z9264f_c3538-r0,DellEMC-Z9264f-C8D112,t0
device/dell/x86_64-dellemc_z9264f_c3538-r0/DellEMC-Z9264f-Q64/buffers.json.j2,dell,x86_64-dellemc_z9264f_c3538-r0,DellEMC-Z9264f-Q64,t1
device/dell/x86_64-dellemc_z9332f_d1508-r0/DellEMC-Z9332f-C32/buffers.json.j2,dell,x86_64-dellemc_z9332f_d1508-r0,DellEMC-Z9332f-C32,t1
device/dell/x86_64-dellemc_z9332f_d1508-r0/DellEMC-Z9332f-M-O16C64/buffers.json.j2,dell,x86_64-dellemc_z9332f_d1508-r0,DellEMC-Z9332f-M-O16C64,t0
device/dell/x86_64-dellemc_z9332f_d1508-r0/DellEMC-Z9332f-O32/buffers.json.j2,dell,x86_64-dellemc_z9332f_d1508-r0,DellEMC-Z9332f-O32,t1
device/dell/x86_64-dellemc_z9432f_c3758-r0/DellEMC-Z9432f-O32/buffers.json.j2,dell,x86_64-dellemc_z9432f_c3758-r0,DellEMC-Z9432f-O32,t1
device/dell/x86_64-dellemc_z9432f_c3758-r0/DellEMC-Z9432f-T64C64O8-DPB/buffers.json.j2,dell,x86_64-dellemc_z9432f_c3758-r0,DellEMC-Z9432f-T64C64O8-DPB,t1
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if,NOT_FOUND
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if_128x100/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if_128x100,NOT_FOUND
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if_32x100/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if_32x100,NOT_FOUND
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if_32x200/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if_32x200,NOT_FOUND
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if_32x400/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if_32x400,NOT_FOUND
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if_64x100/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if_64x100,NOT_FOUND
device/delta/x86_64-delta_et-c032if-r0/Delta-et-c032if_64x200/buffers.json.j2,delta,x86_64-delta_et-c032if-r0,Delta-et-c032if_64x200,NOT_FOUND
device/fs/arm64-fs_s5800_48t4s-r0/S5800-48t4s-mars8p/buffers.json.j2,fs,arm64-fs_s5800_48t4s-r0,S5800-48t4s-mars8p,NOT_FOUND
device/fs/arm64-fs_s5800_48t4s-r0/S5800-48t4s/buffers.json.j2,fs,arm64-fs_s5800_48t4s-r0,S5800-48t4s,NOT_FOUND
device/ingrasys/x86_64-ingrasys_s9130_32x-r0/INGRASYS-S9130-32X/buffers.json.j2,ingrasys,x86_64-ingrasys_s9130_32x-r0,INGRASYS-S9130-32X,t0
device/ingrasys/x86_64-ingrasys_s9230_64x-r0/INGRASYS-S9230-64X/buffers.json.j2,ingrasys,x86_64-ingrasys_s9230_64x-r0,INGRASYS-S9230-64X,t0
device/inventec/x86_64-inventec_d6332-r0/INVENTEC-D6332/buffers.json.j2,inventec,x86_64-inventec_d6332-r0,INVENTEC-D6332,t1
device/inventec/x86_64-inventec_d6356-r0/INVENTEC-D6356/buffers.json.j2,inventec,x86_64-inventec_d6356-r0,INVENTEC-D6356,t1
device/inventec/x86_64-inventec_d7032q28b-r0/INVENTEC-D7032Q28B-C32/buffers.json.j2,inventec,x86_64-inventec_d7032q28b-r0,INVENTEC-D7032Q28B-C32,NOT_FOUND
