rel_path,vendor,hw_platform,profile,group
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_128x100/qos.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_128x100,OTHER
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_32x400/qos.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_32x400,OTHER
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_64x100/qos.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_64x100,OTHER
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_64x100nrz/qos.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_64x100nrz,OTHER
device/celestica/x86_64-cel_midstone-r0/Midstone-200i_64x200/qos.json.j2,celestica,x86_64-cel_midstone-r0,Midstone-200i_64x200,OTHER
device/celestica/x86_64-cel_seastone_2-r0/Seastone_2/qos.json.j2,celestica,x86_64-cel_seastone_2-r0,Seastone_2,A
device/celestica/x86_64-cel_silverstone_v2-r0/Silverstone_v2/qos.json.j2,celestica,x86_64-cel_silverstone_v2-r0,Silverstone_v2,A
device/celestica/x86_64-cel_silverstone_v2-r0/Silverstone_v2_128X100G/qos.json.j2,celestica,x86_64-cel_silverstone_v2-r0,Silverstone_v2_128X100G,A
device/centec/arm64-centec_e530_24x2c-r0/E530-24x2c/qos.json.j2,centec,arm64-centec_e530_24x2c-r0,E530-24x2c,A
device/centec/arm64-centec_e530_24x2q-r0/E530-24x2q/qos.json.j2,centec,arm64-centec_e530_24x2q-r0,E530-24x2q,A
device/centec/arm64-centec_e530_48s4x-r0/E530-48s4x/qos.json.j2,centec,arm64-centec_e530_48s4x-r0,E530-48s4x,A
device/centec/arm64-centec_e530_48t4x_p-r0/E530-48t4x-p/qos.json.j2,centec,arm64-centec_e530_48t4x_p-r0,E530-48t4x-p,A
device/centec/x86_64-centec_e582_48x2q4z-r0/E582-48x2q4z/qos.json.j2,centec,x86_64-centec_e582_48x2q4z-r0,E582-48x2q4z,A
device/centec/x86_64-centec_e582_48x6q-r0/E582-48x6q/qos.json.j2,centec,x86_64-centec_e582_48x6q-r0,E582-48x6q,A
device/centec/x86_64-centec_v682_48x8c-r0/V682-48x8c/qos.json.j2,centec,x86_64-centec_v682_48x8c-r0,V682-48x8c,A
device/centec/x86_64-centec_v682_48y8c-r0/V682-48y8c/qos.json.j2,centec,x86_64-centec_v682_48y8c-r0,V682-48y8c,A
